Date,Product,Quantity,Price
2021-07-09,iphone 14,5,5999.95
2021-10-23,iphone 12,8,6399.92
2022-11-29,Airpods,4,799.96
2022-02-17,iphone 13,5,4999.95
2022-11-25,Airpods,9,1799.91
2023-01-14,Airpods,5,999.95
2022-11-21,iphone 12,2,1599.98
2022-05-06,iphone 12,9,7199.91
2020-10-07,Airpods,8,1599.92
2021-10-29,Airpods,10,1999.9
2021-03-29,iphone 12,6,4799.94
2021-06-29,iphone 13,2,1999.98
2023-05-31,iphone 14,1,1199.99
2021-04-03,Macbook,5,7499.95
2022-04-02,Macbook,9,13499.91
2020-07-14,iphone 14,10,11999.9
2022-07-04,Airpods,8,1599.92
2022-05-22,Airpods,3,599.97
2020-11-22,iphone 12,10,7999.9
2022-04-16,iphone 14,8,9599.92
2022-01-28,iphone 13,1,999.99
2021-01-01,Macbook,4,5999.96
2023-03-16,iphone 14,10,11999.9
2020-09-12,Macbook,6,8999.94
2022-10-10,iphone 13,5,4999.95
2021-09-10,iphone 12,9,7199.91
2022-01-23,Airpods,5,999.95
2022-04-20,iphone 13,4,3999.96
2022-09-10,Macbook,3,4499.97
2021-09-02,iphone 13,7,6999.93
2021-10-02,iphone 13,10,9999.9
2021-06-04,Airpods,3,599.97
2021-12-13,iphone 14,3,3599.97
2021-11-14,iphone 12,3,2399.97
2020-09-02,Airpods,5,999.95
2022-05-21,iphone 12,2,1599.98
2022-11-26,iphone 12,5,3999.95
2021-08-22,Airpods,1,199.99
2020-11-19,iphone 14,9,10799.91
2020-11-12,Macbook,7,10499.93
2023-03-28,Macbook,4,5999.96
2021-10-20,Airpods,5,999.95
2021-05-12,iphone 14,7,8399.93
2022-09-15,Airpods,7,1399.93
2021-03-20,iphone 12,6,4799.94
2023-04-08,iphone 13,4,3999.96
2023-02-03,iphone 14,1,1199.99
2021-05-21,iphone 14,6,7199.94
2022-07-26,Macbook,5,7499.95
2023-01-17,Airpods,8,1599.92
2020-11-27,iphone 14,6,7199.94
2021-09-13,Macbook,7,10499.93
2021-08-04,Airpods,4,799.96
2020-10-11,iphone 13,5,4999.95
2021-10-11,Macbook,7,10499.93
2021-05-08,iphone 13,9,8999.91
2023-04-12,iphone 14,10,11999.9
2021-08-05,Macbook,10,14999.9
2021-10-20,iphone 12,10,7999.9
2022-01-09,iphone 13,9,8999.91
2021-07-04,iphone 14,9,10799.91
2021-02-26,iphone 12,2,1599.98
2022-05-21,iphone 14,3,3599.97
2021-07-21,Airpods,5,999.95
2020-12-22,iphone 13,2,1999.98
2023-04-11,iphone 12,10,7999.9
2022-03-30,Airpods,9,1799.91
2023-01-25,iphone 13,5,4999.95
2020-11-23,iphone 13,10,9999.9
2021-05-15,Airpods,9,1799.91
2020-11-28,iphone 12,8,6399.92
2023-05-17,iphone 13,4,3999.96
2023-01-27,Airpods,7,1399.93
2021-04-25,iphone 12,7,5599.93
2020-11-03,iphone 12,8,6399.92
2021-03-22,iphone 14,10,11999.9
2020-08-10,Airpods,2,399.98
2023-02-13,iphone 12,2,1599.98
2022-10-25,iphone 14,1,1199.99
2020-09-10,iphone 12,10,7999.9
2021-01-21,Macbook,9,13499.91
2020-12-15,iphone 12,8,6399.92
2022-02-26,Macbook,1,1499.99
2021-08-13,Macbook,7,10499.93
2021-02-26,iphone 12,10,7999.9
2020-11-19,Airpods,4,799.96
2020-10-03,Airpods,7,1399.93
2023-05-19,Macbook,2,2999.98
2021-07-06,Macbook,2,2999.98
2021-09-12,iphone 13,2,1999.98
2022-10-24,iphone 12,3,2399.97
2022-08-09,iphone 13,3,2999.97
2023-02-11,Macbook,4,5999.96
2022-05-29,iphone 13,6,5999.94
2023-02-23,iphone 13,1,999.99
2020-09-12,iphone 13,10,9999.9
2021-10-06,iphone 14,8,9599.92
2022-09-12,Airpods,6,1199.94
2021-05-22,iphone 14,8,9599.92
2021-10-21,iphone 12,5,3999.95
2021-06-13,iphone 13,7,6999.93
2022-05-04,iphone 12,9,7199.91
2020-12-14,iphone 14,7,8399.93
2022-08-31,iphone 13,3,2999.97
2022-12-13,iphone 12,7,5599.93
2021-04-12,iphone 12,6,4799.94
2020-09-03,iphone 14,1,1199.99
2021-03-17,iphone 12,2,1599.98
2021-03-12,iphone 12,5,3999.95
2021-03-29,iphone 13,10,9999.9
2022-06-18,iphone 12,2,1599.98
2022-09-22,iphone 14,4,4799.96
2023-02-16,iphone 13,5,4999.95
2022-07-14,Macbook,7,10499.93
2023-01-07,Airpods,8,1599.92
2023-04-03,iphone 12,9,7199.91
2022-11-06,iphone 12,4,3199.96
2023-05-31,iphone 14,3,3599.97
2023-01-03,Macbook,5,7499.95
2023-03-18,Macbook,7,10499.93
2021-06-23,iphone 12,2,1599.98
2021-09-16,Macbook,10,14999.9
2022-04-13,iphone 12,10,7999.9
2020-09-25,iphone 12,4,3199.96
2023-03-19,Macbook,5,7499.95
2021-10-18,Airpods,9,1799.91
2021-05-20,iphone 13,8,7999.92
2022-02-13,Macbook,3,4499.97
2023-03-30,iphone 12,1,799.99
2021-04-28,iphone 13,1,999.99
2022-01-08,iphone 14,2,2399.98
2020-10-23,iphone 14,8,9599.92
2022-12-02,iphone 13,6,5999.94
2022-06-10,Airpods,9,1799.91
2022-03-15,Airpods,8,1599.92
2021-11-29,Macbook,7,10499.93
2023-04-26,iphone 14,2,2399.98
2022-11-01,Airpods,4,799.96
2023-06-13,Airpods,10,1999.9
2020-11-04,Airpods,5,999.95
2023-01-18,Macbook,9,13499.91
2021-08-29,iphone 13,10,9999.9
2022-08-27,iphone 12,10,7999.9
2022-08-26,iphone 13,7,6999.93
2021-07-20,Macbook,4,5999.96
2021-10-31,Airpods,1,199.99
2022-06-08,Airpods,2,399.98
2021-05-08,Airpods,1,199.99
2022-04-23,iphone 14,2,2399.98
2022-11-10,iphone 13,4,3999.96
2021-06-04,Macbook,9,13499.91
2021-01-19,Macbook,7,10499.93
2023-04-11,iphone 13,6,5999.94
2023-04-21,iphone 13,7,6999.93
2021-11-02,iphone 14,8,9599.92
2021-08-06,iphone 14,4,4799.96
2023-03-23,iphone 14,9,10799.91
2023-07-05,Macbook,7,10499.93
2021-07-29,Airpods,5,999.95
2021-01-06,iphone 12,1,799.99
2023-05-30,iphone 12,10,7999.9
2022-07-07,iphone 13,8,7999.92
2022-10-19,iphone 14,4,4799.96
2021-06-14,iphone 13,9,8999.91
2023-01-18,iphone 14,4,4799.96
2022-03-08,iphone 12,4,3199.96
2020-09-21,iphone 13,8,7999.92
2021-01-31,Airpods,4,799.96
2021-02-19,iphone 12,8,6399.92
2023-04-26,iphone 13,5,4999.95
2021-09-04,Macbook,4,5999.96
2023-02-12,iphone 13,1,999.99
2022-09-04,Airpods,8,1599.92
2022-01-14,iphone 14,3,3599.97
2023-06-25,Macbook,9,13499.91
2022-07-07,iphone 13,1,999.99
2023-01-03,Macbook,10,14999.9
2021-11-09,Airpods,9,1799.91
2022-01-12,iphone 14,6,7199.94
2022-12-17,iphone 13,3,2999.97
2020-11-08,iphone 12,7,5599.93
2022-04-10,iphone 12,4,3199.96
2021-08-18,iphone 13,10,9999.9
2020-07-24,iphone 14,9,10799.91
2021-09-06,Macbook,6,8999.94
2021-06-29,Airpods,8,1599.92
2021-03-02,iphone 13,9,8999.91
2023-01-18,iphone 13,6,5999.94
2021-10-01,iphone 13,6,5999.94
2021-03-30,iphone 14,1,1199.99
2022-09-23,Macbook,4,5999.96
2022-08-06,iphone 13,5,4999.95
2023-05-29,iphone 14,5,5999.95
2023-01-19,iphone 13,7,6999.93
2021-07-16,iphone 12,1,799.99
2022-10-04,Macbook,2,2999.98
2021-10-22,iphone 14,2,2399.98
2021-02-28,Macbook,9,13499.91
2020-11-06,iphone 13,6,5999.94
2022-05-29,Macbook,1,1499.99
2023-05-08,Airpods,7,1399.93
2022-12-19,iphone 13,5,4999.95
2020-11-21,Airpods,6,1199.94
2023-03-16,Airpods,3,599.97
2022-03-26,iphone 13,9,8999.91
2022-06-30,Macbook,8,11999.92
2021-03-12,iphone 14,6,7199.94
2020-08-09,iphone 12,6,4799.94
2021-10-18,iphone 12,6,4799.94
2022-06-14,Macbook,2,2999.98
2022-06-30,iphone 13,5,4999.95
2020-11-29,iphone 12,3,2399.97
2022-09-07,iphone 13,2,1999.98
2021-07-30,Airpods,3,599.97
2021-01-10,Macbook,1,1499.99
2020-10-18,iphone 13,10,9999.9
2021-11-16,iphone 12,8,6399.92
2023-04-14,iphone 14,10,11999.9
2021-05-01,iphone 12,2,1599.98
2021-10-05,iphone 12,9,7199.91
2021-02-28,iphone 14,4,4799.96
2023-04-13,Macbook,7,10499.93
2022-11-15,Macbook,2,2999.98
2021-12-12,Airpods,3,599.97
2023-02-13,iphone 12,10,7999.9
2020-12-26,iphone 13,5,4999.95
2021-08-02,Macbook,4,5999.96
2021-11-13,iphone 13,3,2999.97
2022-06-24,Airpods,5,999.95
2021-02-07,iphone 13,7,6999.93
2020-11-10,Macbook,1,1499.99
2021-07-07,iphone 12,6,4799.94
2021-12-02,iphone 13,6,5999.94
2022-07-09,iphone 12,7,5599.93
2020-11-28,Macbook,5,7499.95
2020-11-29,Airpods,10,1999.9
2021-11-12,Macbook,1,1499.99
2022-06-19,iphone 13,4,3999.96
2022-12-15,Macbook,4,5999.96
2020-12-20,Airpods,10,1999.9
2023-07-11,iphone 14,7,8399.93
2020-11-26,Airpods,5,999.95
2022-02-19,Macbook,9,13499.91
2022-10-22,Macbook,6,8999.94
2022-06-06,Macbook,6,8999.94
2020-11-29,Macbook,8,11999.92
2022-09-23,iphone 12,2,1599.98
2021-10-01,Macbook,9,13499.91
2023-02-18,iphone 14,7,8399.93
2022-09-21,Airpods,8,1599.92
2021-12-28,iphone 13,5,4999.95
2023-01-24,iphone 14,9,10799.91
2022-10-04,Airpods,6,1199.94
2023-03-08,Airpods,3,599.97
2023-01-20,Airpods,7,1399.93
2021-04-19,Macbook,4,5999.96
2021-06-24,iphone 12,5,3999.95
2021-08-02,Airpods,9,1799.91
2021-06-08,iphone 13,8,7999.92
2021-09-30,iphone 13,10,9999.9
2022-02-02,Macbook,7,10499.93
2021-09-19,Airpods,10,1999.9
2022-03-22,iphone 13,2,1999.98
2023-03-21,iphone 14,5,5999.95
2022-05-19,Airpods,10,1999.9
2020-12-22,iphone 13,4,3999.96
2022-11-29,Airpods,6,1199.94
2020-10-23,Macbook,6,8999.94
2021-01-16,iphone 12,10,7999.9
2021-12-26,iphone 14,2,2399.98
2021-01-04,Macbook,6,8999.94
2021-09-04,iphone 14,5,5999.95
2022-11-15,iphone 12,5,3999.95
2023-03-24,Airpods,10,1999.9
2020-11-28,iphone 12,10,7999.9
2022-12-10,Macbook,7,10499.93
2021-07-16,Airpods,6,1199.94
2021-05-11,Macbook,6,8999.94
2021-10-19,Airpods,7,1399.93
2022-01-06,iphone 13,7,6999.93
2020-11-09,iphone 14,8,9599.92
2021-07-08,iphone 14,6,7199.94
2021-03-26,iphone 14,10,11999.9
2021-05-08,Airpods,4,799.96
2021-08-25,iphone 12,5,3999.95
2022-05-18,Airpods,7,1399.93
2020-12-19,iphone 12,9,7199.91
2022-01-30,iphone 13,7,6999.93
2020-10-05,iphone 13,9,8999.91
2022-08-01,Macbook,7,10499.93
2022-12-22,iphone 13,2,1999.98
2023-02-18,iphone 13,9,8999.91
2022-10-16,iphone 12,10,7999.9
2023-05-31,iphone 12,8,6399.92
2022-08-09,Airpods,1,199.99
2022-06-04,iphone 14,8,9599.92
2021-12-31,Macbook,4,5999.96
2021-12-07,iphone 12,8,6399.92
2022-07-19,iphone 12,10,7999.9
2020-10-14,Macbook,4,5999.96
2022-09-26,Macbook,4,5999.96
2022-06-12,Airpods,3,599.97
2021-12-03,Airpods,2,399.98
2023-03-27,iphone 12,6,4799.94
2023-07-04,Macbook,1,1499.99
2021-07-24,Airpods,8,1599.92
2021-06-07,iphone 12,7,5599.93
2022-03-26,iphone 14,7,8399.93
2021-05-24,Airpods,4,799.96
2021-08-20,Macbook,2,2999.98
2022-02-27,iphone 13,2,1999.98
2021-08-04,iphone 13,2,1999.98
2022-08-03,iphone 12,9,7199.91
2023-03-01,Macbook,3,4499.97
2022-04-02,Airpods,9,1799.91
2022-10-05,Macbook,1,1499.99
2021-04-21,iphone 12,7,5599.93
2020-11-27,iphone 12,8,6399.92
2021-03-09,iphone 12,6,4799.94
2021-03-18,iphone 12,9,7199.91
2023-06-16,iphone 13,7,6999.93
2023-04-22,Macbook,10,14999.9
2023-05-04,iphone 12,3,2399.97
2022-05-20,iphone 13,4,3999.96
2020-11-16,iphone 14,7,8399.93
2020-09-16,Airpods,3,599.97
2021-02-13,iphone 13,10,9999.9
2022-04-16,Macbook,5,7499.95
2022-06-25,iphone 14,2,2399.98
2022-03-27,iphone 14,1,1199.99
2021-03-07,iphone 14,1,1199.99
2021-12-18,Macbook,6,8999.94
2021-12-14,iphone 12,6,4799.94
2021-05-31,iphone 14,10,11999.9
2022-09-09,Airpods,6,1199.94
2021-08-09,iphone 13,6,5999.94
2023-03-08,Airpods,1,199.99
2023-01-12,Airpods,1,199.99
2020-10-01,iphone 12,6,4799.94
2023-04-17,iphone 12,3,2399.97
2023-01-11,Macbook,10,14999.9
2022-03-18,iphone 14,9,10799.91
2022-03-05,Macbook,8,11999.92
2021-03-19,iphone 13,5,4999.95
2023-01-15,Macbook,4,5999.96
2023-03-02,iphone 12,3,2399.97
2021-04-30,iphone 13,7,6999.93
2023-03-25,iphone 12,3,2399.97
2023-04-27,iphone 14,3,3599.97
2021-06-09,iphone 12,3,2399.97
2021-04-27,Macbook,7,10499.93
2020-10-04,iphone 13,6,5999.94
2022-12-09,iphone 14,6,7199.94
2022-08-01,iphone 13,9,8999.91
2022-12-10,iphone 14,4,4799.96
2021-08-07,Macbook,5,7499.95
2023-01-02,Macbook,9,13499.91
2022-01-08,Airpods,10,1999.9
2023-01-08,Airpods,3,599.97
2022-08-05,Airpods,9,1799.91
2021-10-17,Airpods,1,199.99
2021-04-09,iphone 13,9,8999.91
2020-07-29,iphone 13,2,1999.98
2022-04-26,iphone 14,6,7199.94
2021-10-24,iphone 14,2,2399.98
2022-11-12,Airpods,3,599.97
2023-01-06,iphone 13,7,6999.93
2022-10-16,Macbook,1,1499.99
2021-02-05,iphone 13,2,1999.98
2022-11-28,iphone 12,7,5599.93
2021-11-28,Macbook,3,4499.97
2023-02-04,Airpods,6,1199.94
2020-09-14,iphone 14,6,7199.94
2021-03-20,Macbook,8,11999.92
2021-08-31,Macbook,4,5999.96
2022-06-26,iphone 13,1,999.99
2022-10-18,iphone 12,1,799.99
2021-10-19,Airpods,9,1799.91
2023-04-21,iphone 14,1,1199.99
2020-11-08,iphone 14,1,1199.99
2022-10-23,iphone 14,7,8399.93
2021-11-11,Macbook,7,10499.93
2023-01-30,iphone 12,6,4799.94
2023-02-01,Airpods,7,1399.93
2023-03-01,iphone 14,1,1199.99
2021-11-17,Macbook,4,5999.96
2021-05-12,Macbook,10,14999.9
2021-05-16,iphone 14,5,5999.95
2023-05-07,Macbook,4,5999.96
2021-02-02,Airpods,5,999.95
2022-06-17,Airpods,2,399.98
2021-08-23,Airpods,7,1399.93
2023-03-12,Macbook,3,4499.97
2023-06-06,iphone 12,1,799.99
2023-07-11,Airpods,5,999.95
2020-07-21,Airpods,8,1599.92
2022-03-13,Macbook,7,10499.93
2022-07-20,Macbook,3,4499.97
2020-11-02,iphone 13,5,4999.95
2023-04-29,Airpods,6,1199.94
2022-03-03,iphone 13,6,5999.94
2020-10-03,Airpods,9,1799.91
2022-08-03,Airpods,1,199.99
2022-05-07,Airpods,2,399.98
2022-06-01,iphone 12,8,6399.92
2020-07-18,iphone 14,7,8399.93
2020-07-26,Macbook,4,5999.96
2022-02-24,Airpods,1,199.99
2021-12-14,iphone 13,7,6999.93
2020-08-30,Macbook,2,2999.98
2021-03-06,iphone 14,5,5999.95
2023-02-10,Airpods,4,799.96
2021-09-25,iphone 12,8,6399.92
2020-12-14,iphone 14,5,5999.95
2022-02-07,Airpods,6,1199.94
2021-01-03,Macbook,6,8999.94
2022-06-15,iphone 12,6,4799.94
2023-02-16,iphone 12,8,6399.92
2020-09-07,Macbook,2,2999.98
2023-01-19,Airpods,6,1199.94
2022-12-29,iphone 13,1,999.99
2022-09-17,iphone 12,6,4799.94
2021-03-25,Airpods,4,799.96
2020-08-06,iphone 12,6,4799.94
2021-05-25,iphone 14,8,9599.92
2022-11-04,iphone 13,4,3999.96
2023-03-01,Airpods,10,1999.9
2022-08-15,Macbook,7,10499.93
2021-09-22,Airpods,4,799.96
2021-10-19,iphone 12,9,7199.91
2022-02-07,iphone 12,9,7199.91
2021-03-02,Airpods,3,599.97
2021-01-02,Macbook,10,14999.9
2021-04-05,iphone 12,2,1599.98
2022-04-15,Macbook,2,2999.98
2021-08-31,Airpods,10,1999.9
2022-09-21,iphone 12,7,5599.93
2020-08-12,iphone 13,5,4999.95
2020-08-29,Macbook,6,8999.94
2021-08-16,Macbook,7,10499.93
2020-07-31,Airpods,5,999.95
2021-06-11,iphone 12,6,4799.94
2020-11-26,Airpods,6,1199.94
2023-03-26,iphone 14,9,10799.91
2021-07-11,iphone 14,3,3599.97
2021-10-27,iphone 13,8,7999.92
2022-12-17,Airpods,6,1199.94
2022-04-24,Airpods,8,1599.92
2023-01-07,iphone 13,8,7999.92
2020-09-15,iphone 14,7,8399.93
2022-04-06,iphone 12,3,2399.97
2021-02-16,iphone 13,6,5999.94
2023-02-28,iphone 14,10,11999.9
2021-09-11,iphone 13,1,999.99
2022-01-23,Airpods,8,1599.92
2020-07-17,Airpods,6,1199.94
2020-09-14,iphone 12,8,6399.92
2021-01-30,iphone 12,4,3199.96
2022-04-28,iphone 12,4,3199.96
2022-05-11,Macbook,10,14999.9
2020-12-20,Airpods,7,1399.93
2022-12-08,Airpods,1,199.99
2022-07-03,Macbook,5,7499.95
2021-08-09,iphone 13,2,1999.98
2023-04-03,Macbook,1,1499.99
2022-09-16,Airpods,7,1399.93
2022-12-14,iphone 13,2,1999.98
2022-12-27,iphone 14,7,8399.93
2023-05-04,Airpods,1,199.99
2020-08-14,iphone 12,5,3999.95
2022-03-05,iphone 12,7,5599.93
2021-03-23,Macbook,10,14999.9
2022-09-16,iphone 14,6,7199.94
2022-05-07,Airpods,6,1199.94
2021-11-02,iphone 14,9,10799.91
2022-09-04,iphone 12,6,4799.94
2021-09-09,iphone 12,5,3999.95
2020-10-07,iphone 14,6,7199.94
2022-12-26,Macbook,2,2999.98
2022-11-17,iphone 13,10,9999.9
2021-08-09,iphone 13,10,9999.9
2022-10-09,iphone 14,10,11999.9
2023-06-20,iphone 12,2,1599.98
2023-06-19,iphone 12,4,3199.96
2021-02-18,Airpods,2,399.98
2023-03-06,iphone 12,9,7199.91
2023-03-08,iphone 12,8,6399.92
2022-07-10,Macbook,8,11999.92
2022-03-09,Macbook,1,1499.99
2020-12-01,Macbook,4,5999.96
2022-02-25,iphone 13,7,6999.93
2021-04-04,Airpods,3,599.97
2021-05-17,iphone 14,6,7199.94
2021-05-11,Macbook,10,14999.9
2021-09-08,Macbook,7,10499.93
2020-08-08,iphone 12,3,2399.97
2023-01-19,iphone 13,5,4999.95
2022-01-09,iphone 14,2,2399.98
2022-08-20,Airpods,10,1999.9
2021-09-05,iphone 13,10,9999.9
2022-02-19,Macbook,8,11999.92
2022-05-11,iphone 12,4,3199.96
2020-08-24,iphone 12,6,4799.94
2022-04-18,Airpods,9,1799.91
2021-07-16,Macbook,6,8999.94
2020-08-14,Airpods,3,599.97
2021-05-10,Airpods,10,1999.9
2022-06-18,Macbook,3,4499.97
2022-11-30,Macbook,10,14999.9
2020-08-14,iphone 14,9,10799.91
2023-02-09,iphone 13,10,9999.9
2021-04-10,iphone 12,8,6399.92
2021-12-07,iphone 14,2,2399.98
2022-03-24,Airpods,9,1799.91
2021-07-12,iphone 14,4,4799.96
2021-08-11,Macbook,8,11999.92
2023-03-15,Macbook,4,5999.96
2022-12-26,Airpods,3,599.97
2022-12-04,Macbook,1,1499.99
2022-05-15,iphone 13,9,8999.91
2022-04-14,Airpods,4,799.96
2020-11-18,iphone 12,10,7999.9
2021-05-29,iphone 14,6,7199.94
2023-03-20,Airpods,4,799.96
2021-08-13,iphone 14,8,9599.92
2021-03-11,Airpods,7,1399.93
2023-07-11,iphone 12,9,7199.91
2020-07-29,Airpods,5,999.95
2021-12-22,iphone 13,9,8999.91
2021-09-05,iphone 12,5,3999.95
2022-01-26,Macbook,5,7499.95
2022-02-23,iphone 13,1,999.99
2021-09-10,Macbook,4,5999.96
2022-02-15,Macbook,8,11999.92
2020-08-23,iphone 12,4,3199.96
2020-12-26,iphone 12,10,7999.9
